articleWordCount,headline,snippet
1324, G.O.P. Leadership Poised to Topple Obama’s Pillars,The most powerful and ambitious Republican-led Congress in 20 years plans quick action on several priorities — most notably to clear a path for the repeal of President Obama’s health care law.
2836,Fractured World Tested the Hope of a Young President,A strategy that went from a “good war” to the shorthand “Afghan good enough” reflects the president’s coming to terms with what was possible in Afghanistan.
445,Little Troublemakers,Chuck Deodene puts us in a bubbly mood.
864,"Angela Merkel, Russia’s Next Target","With a friend entering the White House, Vladimir Putin can turn his hacking army on Germany. The history of the Cold War can tell us what to expect."
309,Boots for a Stranger on a Bus,Witnessing an act of generosity on a rainy day.
2180,"Molder of Navajo Youth, Where a Game Is Sacred","In a place of poverty, social ills and fractured families, Raul Mendoza, 69, coach of the Chinle, Ariz., Wildcats, is a source of quiet strength for his young players."
1146,"‘The Affair’ Season 3, Episode 6: Noah Goes Home","As usual, Noah’s story this week was dour."
557,Sprint and Mr. Trump’s Fictional Jobs,"The emerging, and dangerous, new form of crony capitalism."
784,America  Becomes a Stan,Rule of law is for the little people.
1109,"Fighting Diabetes, and Leading by Example","Eric L. Adams, the Brooklyn borough president, says he has reversed his Type 2 diabetes through diet and exercise, without taking medication."
533,Chinese Court Says ‘Mr. C’ Was Fired Unjustifiably,"The court ordered the company to pay the plaintiff, identified as Mr. C, 2,000 renminbi in compensation but did not grant his demand for an apology."
836,Cold Therapy? Maybe Better Save Your Money,"Whole body cryotherapy, which began with elite athletes, is going mainstream, but there’s little evidence it helps."
1270,Shunned Stars of Steroid Era Are on Deck for Cooperstown,Some say it is hypocritical to continue rejecting former stars like Barry Bonds and Roger Clemens when nonplaying figures from that era have gotten in.
279,Picking Up a Personal Thread at an Office Party,An acquaintance from work shares something astounding about himself at two festive gatherings years apart.
3361,Health Reform Could Outlast Repeal Efforts,"A transformation of the delivery of health care may be an enduring legacy for the president, even as Republicans plan to repeal the Affordable Care Act."
677,"Mr. Trump, Bureaucracy Apprentice","Mr. Trump is already making big mistakes by underestimating his new employees, federal workers."
1152,House G.O.P. Votes to Gut an Office Reviewing Ethics,The move by emboldened Republicans on the eve of a new Congress would strip power and independence from an investigative body and give lawmakers control over ethics inquiries.
797,‘Right to Disconnect’ From Work Email and Other Laws Go Into Effect in France,"A raft of measures meant to balance modernity and tradition will make it easier to unplug from work email, protect the environment and get divorced."
875,Lessons From the Tea Party,It’s a simple playbook: organize locally and play defense.
638,All Talk,Michael Shteyman makes the call.
108,Winter Comforts,"What do you do to stay happy, productive and cozy during winter? What do you like about this season and what do you dislike?"
805,The Snapchat Presidency,The next occupant (at least part time) of the White House won’t lead or communicate policy like a normal leader.
8022,The House at the End of the World,"How B.J. Miller, a doctor and triple amputee, used his own experience to pioneer a new model of palliative care at a small, quirky hospice in San Francisco."
1288,Power Down,"For much of American history, anti-elite sentiment was a matter of up versus down, not left versus right. The 20th century changed that."
2350,"Fraud Culture Rises in India, Aiming at U.S.","The availability of computer-savvy, young, English-speaking job seekers and efficient technology have contributed to the growth in cyberfraud against Americans."
1049,"New York Today: New Year, New Commute","Tuesday: Commuting on the Second Avenue line, a New Year’s Eve jewelry heist, and the first subway ride."
963,The Year of Conquering Negativity,"Constant negativity can get in the way of happiness, but with practice, you can learn to disrupt and tame negative cycles."
289,Questions for: ‘Leave Your Laptops at the Door to My Classroom’,How does a law school professor’s classroom rule help prepare his students for their careers?
492,What Are Your Predictions for 2017?,"What do you think, or hope, might happen in the world this year?"
947,Is Your Workout Not Working?,"People who don’t benefit from endurance workouts may get results from interval training, and vice versa, a new study suggests."
1305,House G.O.P. Abandons Bid to Stifle Ethics Office,"Lawmakers, facing a storm of bipartisan criticism, including from President-elect Donald J. Trump, reversed their steps against the Office of Congressional Ethics."
213,Pregnancy: Pre-eclampsia and Eye Trouble,Women with pre-eclampsia had a higher rate of retinal detachment years later.
1339,"A Fox News Pillar’s Jump to NBC Will Test Her, and the Networks","Ms. Kelly’s departure from Fox News will test her ability to connect with a broader audience, but the most significant implications concern the larger television news industry."
650,Wishful Thinkers,Roland Huget asks a rhetorical question.
823,Arms  and  the Trump,"Another day, another terrible shooting."
1210,Leicester City Learns Magic Goes Only So Far,"Giddy disbelief settled among fans and around the team during the run to the Premier League championship last season. But months after the fact, the glow is fading."
1575,"To Evaluate a Dog’s Smarts, Humans Pick Up New Tricks","Owners are increasingly interested in their pets’ intelligence, giving researchers eager recruits in the relatively new field of canine cognition."
3637,A Second Empire by Trump’s Side,"As Donald J. Trump’s son-in-law prepares for a White House role, his undisclosed talks with a secretive Chinese company highlight potential conflicts of interest."
62,A Little Variety,"A place to discuss the A Little Variety suite of puzzles, including this week’s Spelling Bee."
1215,Major Changes Loom for Corporate Taxes,"A plan from Republicans would focus on domestic cash flow instead of corporate income, and could have a huge effect on the path of the economy."
301,Variety: Acrostic,Emily Cox and Henry Rathvon seem to be hoping for an early spring.
1471,Russians Mock Meddling Charge as Unsupported,Russian politicians and commentators dismiss a report outlining what America’s top intelligence agencies view as an elaborate “influence campaign” aimed at skewing the presidential race.
1808,How to Starve Online Hate,Many companies don’t know that their ads are appearing next to abhorrent content. Tell them.
640,Crime and Gratitude in New York,"Those responsible for the much safer city deserve kudos, though there still are hot spots that deserve more attention."
901,White House Red Scare,All this talk about Reds makes Trump see red and gives Washington the blues.
1884,The War That Killed Trust,"The legacy of the war still shapes America, even if most of us are too young to remember it."
1205,"Yes, It’s Your Parents’ Fault",“Attachment theory“ finds new resonance in the age of smartphones.
1572,For the Forgotten African-American Dead,Neglected black cemeteries deserve the same level of care that their Confederate counterparts get.
2267,The Future of The Times: A View From the Top,Change is coming to The New York Times. What will it mean for readers? The public editor sat down with the executive editor to find out.
899,The Downsizing of Nathaniel Ames,Peter Broda and Erik Agard boil things down for us.
4979,A Bond Over Bucking the Establishment,"An alliance with Donald J. Trump has paid off for Mr. Sessions in a fashion that few who know him ever imagined: Within days, he could be confirmed as attorney general."
1806,‘La La Land’ Dominates With Record Wins,"The musical “La La Land” won a record seven awards, “Moonlight” won for best picture, drama, and Meryl Streep forcefully criticized Donald J. Trump."
1399,Fury in Mexico’s Streets After Gas Prices Surge,Mexico already faces rising crime and a sluggish economy. Now it is bracing for Donald J. Trump’s threatened crackdown on immigration and trade.
487,Failure to Comb,Neville Fogarty reminds us of a basic rule of hygiene.
1345,‘All-Star.’ ‘Defendant.’  Both Soon on a Plaque?,It’s going to take some finesse to gussy up the fact that Barry Bonds and Roger Clemens would arrive at the Hall laden with suspicions of drug use.
856,The Grim Reaper of Alabama,"As the state’s attorney general, his main concerns were that Alabamians weren’t being executed fast enough, or for enough types of crimes."
313,A Secret Squadron Agent at the Pushcart,Recalling a special moment with a neighborhood fixture.
708,"What Are You Hiding, Jeff Sessions?","As attorney-general confirmation hearings begin for a man the Senate considered too racist to be a federal judge, Democrats must put up a real fight."
1466,"For Assange, a 10-Year Vision of Toppling Power Is a Reality","In a 2006 essay, Mr. Assange, the founder of WikiLeaks, outlined the politically disruptive potential of technology. Hillary Clinton’s loss might be a realization of his vision."
1277,Strikes by Russia  Buttress Turkey  in Battle vs. ISIS,The deepening partnership between Russia and Turkey could marginalize the United States in the struggle to shape Syria’s future.
1031,You Only Turn 40 One Time,"Cate Blanchett stars in this Sydney Theater Company production of a Chekhov work, which features an eruption of runaway hedonism at a birthday party."
954,"‘The Affair’ Season 3, Episode 7: There’s a Monster in the Basement",Noah hit the rockiest of rock bottoms in Sunday night’s “The Affair.”
1105,"When a Beast Awakens, the Giants Go Into Hibernation","After a trip to sunny Miami raised eyebrows, the Giants’ receivers landed with a thud in chilly Green Bay."
783,Deficits  Matter  Again,Why the Trump-Putin economy isn’t like Obama’s.
2125,Is Humanism Really Humane?,"The idea of the “human” has brought us human rights, but it’s not enough to ensure justice."
849,Erasing President Obama,The people who stand to lose most are Trump supporters.
1595,Michelle Obama’s Turn,"The “mom in chief” charmed late-night hosts and hula-hooped with kids, but she wasn’t her full self in public."
807,The Age  of Fake  Policy,Hyping the trivial obscures reality.
821,The Home Buying Decision,Choosing where you rest your head is a story of falling in love and knowing yourself.
119,Dabbing in Congress,"Is Cal a spoiled brat who ruined one of the biggest days of his father’s life, or a true American hero who saw his opportunity and seized it?"
342,Questions for: ‘India’s Call-Center Talents Put to a Criminal Use: Swindling Americans’,What are the motivations behind international phone scams?
673,"How Should Opponents Receive the New President — With an Open Mind and Honor for the Office, or With Defiance and Rejection?","For those people who are alarmed by Mr. Trump’s rhetoric and expressed values, what is the proper response?"
907,How the Qing Court Sowed the Seeds of Environmental Protection in China,"Jonathan Schlesinger, the author of “A World Trimmed With Fur,” discusses the Qing dynasty’s resource management and its influence on conservation in modern China."
1503,"Friday Mailbag: Taunts, Hoaxes, Anonymity and Stealth",Should The Times have added a note to an updated story? And was a child’s taunt truly populist — or was it just plain old bigotry?
2244,Year of  the Renter,Incentives abound as New York City landlords cope with a softening market.
414,Teaching With: ‘Midnight Three & Six’,This short documentary shows a mother’s efforts to manage her daughter’s daily struggle with a life-threatening condition: Type I diabetes.
1507,Grabbing Card Bonuses Before Banks Pull Them,"Even if you thought you’d had enough of card-hopping, you might consider grabbing one of those eye-popping sign-up bonuses."
909,The Japanese Art of Grieving a Miscarriage,We knew miscarriage was common. But why wasn’t there anything people did when it happened?
1831,"As Trump Denies Climate Change, These Kids Die",Droughts caused by global warming have left southern Africa starved for food.
395,"Some Assembly Required, but Worth It","These Scandinavian morsels are just about the most perfect thing you could make on a cold, wet evening."
1606,"Putin Led Scheme to Aid Trump, Report Says","U.S. intelligence agencies presented their unanimous conclusions to Donald J. Trump, bringing the leaders of these agencies face to face with their most vocal skeptic, the president-elect."
1122,Rumors of Hillary Clinton’s Comeback,Donald Trump only thought he got rid of her.
1289,Jobs Well Done? How Obama Compares With Predecessors,"Comparing his performance with that of other presidents: Things could have been much worse, and at the start, they were."
1363,Agreement Would Close Indian Point Nuclear Power Plant by 2021,"The shutdown has been a long-held priority for Gov. Andrew M. Cuomo, who has said the plant poses too great a risk to New York City, less than 30 miles to the south."
878,Trump’s Anti-C.I.A. Crusade,His attacks on the agency aren’t just bad for the agency. They threaten our national security.
679,"Into a World of Fantasy, Where the Sorcerers Take Center Stage","The action in this piece at the Under the Radar festival unfolds both on a screen and below it, as you watch illusion-makers work with video, shadow puppets and scrims."
1166,The Dangers of Safety Equipment,Can rugby tacklers teach N.F.L. players how to improve their behavior?
603,Giving Mr. Trump’s Nominees a Pass,Some of Mr. Trump’s wealthy nominees are trying to do an end-run around federal conflict of interest rules.
922,Instagram Explore,Lurking inside the bland smartphone is a fire hose of peculiarity that can be blasted open whenever you choose.
758,A Middle Eastern Layer Cake for Dinner,"Learning to make maqluba — a dish of meat, vegetables and spiced rice — in Sunset Park, Brooklyn."
3564,Swan Song,"A trip up the Thames to see a centuries-old custom and, perhaps, find out what it means to call a country home."
1166,Every Extra Penny Counts,"Approved in 2015, stipends are meant to help pay for the full cost of attending college, and athletes make the most of them, often sending the money home."
