,articleWordCount,headline,snippet,tokens,label_headline
0,1324, G.O.P. Leadership Poised to Topple Obama’s Pillars,The most powerful and ambitious Republican-led Congress in 20 years plans quick action on several priorities — most notably to clear a path for the repeal of President Obama’s health care law.,"['leadership', 'poised', 'topple', 'obama', 'pillarsthe', 'powerful', 'ambitious', 'republican', 'led', 'congress', 'years', 'plans', 'quick', 'action', 'several', 'priorities', 'notably', 'clear', 'path', 'repeal', 'president', 'obama', 'health', 'care', 'law']",Positive
1,2836,Fractured World Tested the Hope of a Young President,A strategy that went from a “good war” to the shorthand “Afghan good enough” reflects the president’s coming to terms with what was possible in Afghanistan.,"['fractured', 'world', 'tested', 'hope', 'young', 'presidenta', 'strategy', 'went', 'good', 'war', 'shorthand', 'afghan', 'good', 'enough', 'reflects', 'president', 'coming', 'terms', 'possible', 'afghanistan']",Positive
2,445,Little Troublemakers,Chuck Deodene puts us in a bubbly mood.,"['little', 'troublemakerschuck', 'deodene', 'puts', 'us', 'bubbly', 'mood']",Neutral
3,864,"Angela Merkel, Russia’s Next Target","With a friend entering the White House, Vladimir Putin can turn his hacking army on Germany. The history of the Cold War can tell us what to expect.","['angela', 'merkel', 'russia', 'next', 'targetwith', 'friend', 'entering', 'white', 'house', 'vladimir', 'putin', 'turn', 'hacking', 'army', 'germany', 'history', 'cold', 'war', 'tell', 'us', 'expect']",Negative
4,309,Boots for a Stranger on a Bus,Witnessing an act of generosity on a rainy day.,"['boots', 'stranger', 'buswitnessing', 'act', 'generosity', 'rainy', 'day']",Neutral
5,2180,"Molder of Navajo Youth, Where a Game Is Sacred","In a place of poverty, social ills and fractured families, Raul Mendoza, 69, coach of the Chinle, Ariz., Wildcats, is a source of quiet strength for his young players.","['molder', 'navajo', 'youth', 'game', 'sacredin', 'place', 'poverty', 'social', 'ills', 'fractured', 'families', 'raul', 'mendoza', 'coach', 'chinle', 'ariz', 'wildcats', 'source', 'quiet', 'strength', 'young', 'players']",Neutral
6,1146,"‘The Affair’ Season 3, Episode 6: Noah Goes Home","As usual, Noah’s story this week was dour.","['affair', 'season', 'episode', 'noah', 'goes', 'homeas', 'usual', 'noah', 'story', 'week', 'dour']",Neutral
7,557,Sprint and Mr. Trump’s Fictional Jobs,"The emerging, and dangerous, new form of crony capitalism.","['sprint', 'mr', 'trump', 'fictional', 'jobsthe', 'emerging', 'dangerous', 'new', 'form', 'crony', 'capitalism']",Negative
8,784,America  Becomes a Stan,Rule of law is for the little people.,"['america', 'becomes', 'stanrule', 'law', 'little', 'people']",Neutral
9,1109,"Fighting Diabetes, and Leading by Example","Eric L. Adams, the Brooklyn borough president, says he has reversed his Type 2 diabetes through diet and exercise, without taking medication.","['fighting', 'diabetes', 'leading', 'exampleeric', 'adams', 'brooklyn', 'borough', 'president', 'says', 'reversed', 'type', 'diabetes', 'diet', 'exercise', 'without', 'taking', 'medication']",Positive
10,533,Chinese Court Says ‘Mr. C’ Was Fired Unjustifiably,"The court ordered the company to pay the plaintiff, identified as Mr. C, 2,000 renminbi in compensation but did not grant his demand for an apology.","['chinese', 'court', 'says', 'mr', 'fired', 'unjustifiablythe', 'court', 'ordered', 'company', 'pay', 'plaintiff', 'identified', 'mr', 'renminbi', 'compensation', 'grant', 'demand', 'apology']",Neutral
